LAT,LONG
40.40865,-70.70576
40.40862,-70.6995
40.40862,-70.69371
40.40867,-70.68746
40.4087,-70.68131
40.40873,-70.67497
40.40878,-70.66875
40.4088,-70.66254
40.40883,-70.65643
40.40885,-70.65014
40.40887,-70.64404
40.40909,-70.61313
40.4091,-70.60685
40.40912,-70.60066
40.40914,-70.59447
40.40919,-70.58828
40.40919,-70.58209
40.40919,-70.57544
40.40921,-70.56926
40.40924,-70.56311
40.40931,-70.55686
40.40937,-70.55069
40.40939,-70.54453
40.40941,-70.53837
40.40942,-70.53166
40.40947,-70.52562
40.40948,-70.51938
40.40947,-70.51381
40.40947,-70.50777
40.4095,-70.50156
40.40952,-70.49544
40.40951,-70.48941
40.40954,-70.4832
40.40971,-70.4772
40.40994,-70.4711
40.41011,-70.46546
40.41029,-70.45938
40.41044,-70.45441
