LAT,LONG
40.4259,-70.6903
40.42597,-70.6838
40.426,-70.67739
40.42607,-70.6709
40.42613,-70.6643
40.42617,-70.65791
40.42621,-70.6514
40.42634,-70.64479
40.42641,-70.63779
40.42644,-70.63126
40.42651,-70.62473
40.42658,-70.61813
40.42664,-70.61114
40.42668,-70.60458
40.4268,-70.59797
40.42686,-70.59142
40.42694,-70.58491
40.42702,-70.5784
40.42711,-70.57187
40.42718,-70.56542
40.42734,-70.55889
40.42739,-70.55223
40.4275,-70.54563
40.42772,-70.53907
40.42795,-70.53134
40.42845,-70.51639
40.42866,-70.50988
40.42884,-70.50316
40.42926,-70.49298
40.42951,-70.48572
40.42978,-70.47897
40.43006,-70.4723
40.43032,-70.46562
40.43077,-70.45362
