LAT,LONG
40.4157,-70.7
40.41716,-70.63292
40.41732,-70.62439
40.41744,-70.61654
40.41757,-70.60864
40.41769,-70.60144
40.41783,-70.59358
40.41795,-70.58626
40.41816,-70.57919
40.41831,-70.572
40.41848,-70.56483
40.41858,-70.55766
40.41872,-70.55048
40.41888,-70.5433
40.41905,-70.53599
40.4191,-70.53414
40.41935,-70.52433
40.41953,-70.51703
40.41973,-70.5093
40.41989,-70.50199
40.4201,-70.49429
40.42025,-70.48764
40.42042,-70.48057
40.42061,-70.47274
40.42074,-70.46492
40.4209,-70.45764
40.42104,-70.45056
