LAT,LONG
40.5491,-70.45712
40.54858,-70.46589
40.54806,-70.47402
40.54758,-70.48191
40.5471,-70.49005
40.54664,-70.49795
40.54618,-70.50597
40.54556,-70.51467
40.54489,-70.52279
40.54425,-70.53065
40.5436,-70.53865
40.54294,-70.54664
40.5422,-70.55389
40.54136,-70.56198
40.54054,-70.5698
40.53976,-70.57704
40.53892,-70.585
40.53813,-70.59222
40.5376,-70.60019
40.53718,-70.60817
40.53675,-70.61616
40.53633,-70.6234
40.53591,-70.63139
40.53545,-70.63935
40.53505,-70.64733
40.53474,-70.65532
40.53471,-70.6633
40.53469,-70.67125
40.5347,-70.6792
40.53471,-70.68715
40.53475,-70.69522
