LAT,LONG
40.40819,-70.70407
40.40796,-70.69698
40.40778,-70.68988
40.40755,-70.6828
40.40734,-70.67572
40.40727,-70.66861
40.40734,-70.65889
40.4074,-70.65177
40.4075,-70.63881
40.40764,-70.62585
40.40768,-70.6187
40.40785,-70.61157
40.40807,-70.60444
40.4083,-70.59741
40.40855,-70.59017
40.40879,-70.58315
40.40906,-70.57593
40.40929,-70.5688
40.40953,-70.56114
40.40977,-70.55391
40.40994,-70.5468
40.41008,-70.53903
40.41026,-70.52995
40.41042,-70.5228
40.41057,-70.51564
40.41074,-70.50783
40.4109,-70.50065
40.41123,-70.48699
40.41135,-70.48179
40.41155,-70.47325
40.41174,-70.46626
40.41201,-70.45919
40.41225,-70.45214
