LAT ,LONG
40.40104,-70.70046
40.40121,-70.69337
40.40151,-70.6856
40.40196,-70.67863
40.40225,-70.67145
40.40255,-70.66419
40.40282,-70.65566
40.40304,-70.64872
40.40331,-70.6416
40.4036,-70.63454
40.40376,-70.62798
40.40404,-70.62083
40.40435,-70.61337
40.40457,-70.60599
40.40483,-70.59885
40.40502,-70.59124
40.40527,-70.5829
40.40548,-70.5758
40.40577,-70.56867
40.40596,-70.56179
40.40616,-70.55474
40.40637,-70.54764
40.40664,-70.5399
40.40701,-70.53294
40.40715,-70.52524
40.4069,-70.51844
40.40637,-70.51146
40.40592,-70.50449
40.40549,-70.49698
40.40525,-70.48999
40.40514,-70.4881
40.40479,-70.47846
40.40461,-70.4714
40.40443,-70.46384
40.40436,-70.45562
40.40416,-70.44859
