LAT,LONG
40.43854,-70.70162
40.43867,-70.69457
40.43876,-70.6865
40.43887,-70.67911
40.43898,-70.67224
40.4391,-70.6646
40.43922,-70.65719
40.43939,-70.64959
40.43955,-70.64156
40.4397,-70.63404
40.43985,-70.62667
40.43999,-70.61921
40.44007,-70.6122
40.44024,-70.60468
40.44041,-70.59731
40.44056,-70.58968
40.44072,-70.58205
40.44087,-70.57463
40.441,-70.56697
40.44116,-70.55943
40.44126,-70.55407
40.44138,-70.5464
40.4415,-70.53895
40.44167,-70.53136
40.44178,-70.52384
40.44196,-70.51629
40.44216,-70.50868
40.44232,-70.50114
40.44244,-70.49373
40.44264,-70.48545
40.44269,-70.47774
40.44278,-70.47108
40.4429,-70.4635
40.44313,-70.45578
40.44313,-70.44864
