LAT,LONG
40.40788,-70.69507
40.40813,-70.6867
40.40842,-70.67887
40.40865,-70.67127
40.40887,-70.66358
40.40905,-70.65592
40.40927,-70.64825
40.40952,-70.63983
40.40975,-70.63145
40.40995,-70.62367
40.41015,-70.61602
40.41037,-70.60838
40.41072,-70.59793
40.41098,-70.5904
40.41125,-70.58337
40.41158,-70.57448
40.41185,-70.56678
40.41213,-70.5585
40.41295,-70.52892
40.41295,-70.50803
40.41295,-70.50028
40.41293,-70.48707
40.41292,-70.4794
40.4129,-70.4717
40.41287,-70.4639
40.41282,-70.45635
40.41277,-70.44867
