LAT,LONG
40.54435,-70.49059
40.54383,-70.51189
40.5436,-70.51814
40.54354,-70.51981
40.54338,-70.52595
40.54321,-70.53224
40.54303,-70.53834
40.54285,-70.54452
40.54269,-70.5507
40.54254,-70.55686
40.54241,-70.563
40.54227,-70.56911
40.54215,-70.57519
40.54199,-70.5812
40.54178,-70.58718
40.54156,-70.59315
40.54144,-70.59919
40.54126,-70.60505
40.54108,-70.61086
40.54097,-70.61686
40.54078,-70.62264
40.54062,-70.62859
40.54045,-70.63445
40.54038,-70.64026
40.54024,-70.64567
40.5401,-70.65157
40.53999,-70.65748
40.53984,-70.66332
40.53976,-70.66938
40.53966,-70.67536
40.53954,-70.68133
40.53947,-70.68733
40.53929,-70.69328
40.53915,-70.69926
