LAT,LONG,SOG
40.5465,-70.45378,11.7
40.54647,-70.45882,11.7
40.54642,-70.46382,11.7
40.5464,-70.46865,11.7
40.54637,-70.47372,11.7
40.54632,-70.4786,11.7
40.54627,-70.48365,11.7
40.54623,-70.48863,11.7
40.54618,-70.4937,11.7
40.54615,-70.4986,11.7
40.54612,-70.5035,11.7
40.54607,-70.50853,11.7
40.54603,-70.51278,11.7
40.54598,-70.5176,11.7
40.54595,-70.5227,11.7
40.5459,-70.52765,11.6
40.54582,-70.53338,11.7
40.54575,-70.53833,11.6
40.54572,-70.54328,11.6
40.54567,-70.54817,11.6
40.5456,-70.55305,11.6
40.54553,-70.5594,11.6
40.54545,-70.5644,11.6
40.54542,-70.5694,11.6
40.54538,-70.5742,11.6
40.54538,-70.58268,11.7
40.54537,-70.58765,11.7
40.54535,-70.5927,11.7
40.54532,-70.59777,11.7
40.5453,-70.60267,11.7
40.54528,-70.60843,11.6
40.5453,-70.61332,11.7
40.5453,-70.61827,11.6
40.54532,-70.62323,11.7
40.54535,-70.6282,11.6
40.54537,-70.63313,11.6
40.5454,-70.63807,11.6
40.54545,-70.64363,11.6
40.54548,-70.64863,11.6
40.54548,-70.64998,11.6
40.54553,-70.65492,11.6
40.54533,-70.65978,11.3
40.54492,-70.6653,11.4
40.54468,-70.66945,11.5
40.54435,-70.67432,11.5
40.544,-70.67993,11.5
40.54367,-70.68485,11.5
40.54333,-70.68963,11.4
40.543,-70.69448,11.5
40.54255,-70.70143,11.5
