LAT,LONG
40.41544,-70.70383
40.41583,-70.69723
40.41619,-70.69126
40.41657,-70.68521
40.41694,-70.67915
40.41728,-70.67311
40.41765,-70.66706
40.41797,-70.66102
40.41831,-70.65443
40.41863,-70.64832
40.41874,-70.64622
40.41999,-70.62318
40.42033,-70.61717
40.42064,-70.61115
40.42095,-70.60522
40.42125,-70.59919
40.42151,-70.59371
40.42181,-70.5876
40.42205,-70.58157
40.42235,-70.57555
40.4227,-70.56952
40.42302,-70.56358
40.42327,-70.55755
40.42356,-70.55142
40.42384,-70.54538
40.4241,-70.53934
40.42445,-70.53339
40.42486,-70.52725
40.42518,-70.52128
40.42545,-70.51521
40.4258,-70.50914
40.42616,-70.50297
40.42636,-70.49642
40.42639,-70.49031
40.42629,-70.48411
40.42599,-70.47801
40.42551,-70.47193
40.42491,-70.46585
40.42422,-70.45988
