LAT,LONG
40.40609,-70.68355
40.40624,-70.67769
40.40641,-70.67122
40.40659,-70.66474
40.40665,-70.6583
40.40638,-70.65131
40.40606,-70.64489
40.40548,-70.6291
40.40525,-70.62253
40.40497,-70.61605
40.40467,-70.60958
40.40421,-70.60019
40.40399,-70.59368
40.40372,-70.5872
40.40346,-70.58073
40.40314,-70.57425
40.40289,-70.56838
40.40283,-70.56192
40.40288,-70.55548
40.4032,-70.54789
40.40438,-70.51505
40.40498,-70.49855
40.40522,-70.49206
40.40547,-70.48556
40.40602,-70.47319
40.40634,-70.46721
40.40673,-70.46094
40.40708,-70.45496
40.40722,-70.4526
