LAT,LONG
40.54896,-70.45446
40.54888,-70.46304
40.54875,-70.47232
40.54865,-70.48161
40.54853,-70.48946
40.54846,-70.49815
40.5484,-70.50587
40.54834,-70.51372
40.54826,-70.52291
40.54817,-70.53254
40.54808,-70.54047
40.54801,-70.54748
40.54793,-70.55581
40.54789,-70.56346
40.54782,-70.57205
40.54769,-70.58127
40.54759,-70.58979
40.5475,-70.59762
40.54741,-70.60533
40.54733,-70.61327
40.54722,-70.62242
40.54718,-70.63026
40.5471,-70.63821
40.54706,-70.64593
40.54698,-70.65373
40.54692,-70.66152
40.54684,-70.66942
40.54675,-70.67708
40.54668,-70.68484
40.54662,-70.69272
40.54655,-70.70037
