LAT,LONG
40.41323,-70.70535
40.41344,-70.69936
40.41361,-70.69337
40.41376,-70.68738
40.41394,-70.6814
40.41411,-70.67543
40.41429,-70.66957
40.41446,-70.66363
40.41465,-70.65768
40.41478,-70.65228
40.41493,-70.64625
40.4151,-70.63977
40.41527,-70.6334
40.41543,-70.62801
40.41562,-70.62152
40.4157,-70.61611
40.41579,-70.61008
40.41584,-70.60423
40.41588,-70.59819
40.41591,-70.59233
40.416,-70.58641
40.41606,-70.5804
40.41611,-70.57459
40.41619,-70.5686
40.41626,-70.5628
40.41632,-70.55681
40.41637,-70.55101
40.41646,-70.54565
40.41651,-70.53967
40.41659,-70.53386
40.41667,-70.52743
40.41672,-70.52153
40.41677,-70.51565
40.41682,-70.50977
40.4169,-70.50389
40.417,-70.49747
40.41709,-70.49159
40.41715,-70.48563
40.41724,-70.47984
40.4173,-70.47346
40.41734,-70.46759
40.4174,-70.46173
40.41745,-70.45588
40.41753,-70.45003
