LAT,LONG
40.53853,-70.44827
40.53863,-70.45325
40.53874,-70.45818
40.53886,-70.46323
40.53895,-70.46817
40.53904,-70.47317
40.53913,-70.47742
40.53923,-70.48242
40.53927,-70.4874
40.53931,-70.49245
40.53939,-70.49744
40.53952,-70.50252
40.53965,-70.50738
40.53978,-70.51237
40.53983,-70.51742
40.53987,-70.52232
40.53993,-70.52739
40.54004,-70.53236
40.54017,-70.53728
40.54028,-70.54165
40.54038,-70.54655
40.54047,-70.55151
40.54055,-70.55651
40.5406,-70.56159
40.54061,-70.56656
40.54068,-70.57149
40.54081,-70.57658
40.54096,-70.58153
40.5411,-70.58654
40.54122,-70.59162
40.54129,-70.59657
40.54138,-70.60159
40.54154,-70.60666
40.54168,-70.6116
40.54167,-70.61658
40.54166,-70.61879
40.54163,-70.62305
40.54163,-70.62805
40.54167,-70.63305
40.54169,-70.63811
40.54168,-70.64303
40.54165,-70.64807
40.54165,-70.65298
40.54168,-70.65787
40.5417,-70.66284
40.54173,-70.66796
40.54177,-70.67287
40.54179,-70.67776
40.54182,-70.68271
40.54184,-70.68774
