LAT,LONG,SOG
40.54675,-70.50671,11.6
40.54678,-70.51163,11.5
40.54673,-70.51655,11.5
40.54657,-70.52156,11.5
40.54644,-70.52634,11.5
40.54637,-70.53125,11.5
40.54633,-70.53617,11.5
40.54627,-70.54184,11.5
40.54619,-70.54668,11.5
40.54604,-70.55168,11.5
40.54587,-70.55655,11.5
40.54568,-70.56139,11.5
40.54552,-70.56635,11.5
40.54543,-70.5712,11.5
40.54542,-70.57614,11.5
40.54539,-70.58167,11.5
40.54524,-70.58659,11.5
40.54503,-70.59148,11.5
40.5449,-70.59638,11.5
40.54481,-70.60213,11.5
40.54476,-70.6076,11.5
40.54474,-70.61257,11.5
40.54466,-70.61746,11.4
40.54447,-70.62234,11.5
40.54425,-70.62793,11.5
40.54414,-70.6329,11.5
40.54411,-70.63771,11.5
40.54403,-70.64254,11.5
40.54395,-70.64744,11.5
40.54384,-70.65234,11.5
40.54368,-70.6573,11.5
40.54351,-70.66217,11.5
40.54338,-70.66707,11.4
40.54331,-70.67195,11.4
40.54324,-70.67689,11.3
40.54313,-70.68168,11.3
40.54294,-70.68721,11.3
40.54275,-70.69206,11.3
40.54262,-70.69684,11.4
