LAT,LONG
40.41375,-70.70298
40.41373,-70.69505
40.41375,-70.68712
40.41376,-70.67921
40.4138,-70.67132
40.41384,-70.66343
40.41386,-70.65554
40.41378,-70.64751
40.41347,-70.63971
40.41317,-70.63181
40.41295,-70.62451
40.41266,-70.61672
40.41237,-70.6087
40.41211,-70.6008
40.41189,-70.59363
40.4118,-70.58587
40.41171,-70.578
40.41161,-70.57012
40.41171,-70.56216
40.41181,-70.55444
40.41195,-70.54719
40.41228,-70.53938
40.41258,-70.53167
40.41285,-70.52384
40.41317,-70.51601
40.41344,-70.50816
40.41371,-70.50017
40.414,-70.49233
40.41408,-70.4903
40.41437,-70.48245
40.41467,-70.47458
40.41501,-70.46674
40.41525,-70.45885
40.41554,-70.45098
