LAT ,LONG,SOG
40.41673,-70.69297,11.2
40.41689,-70.68806,11.2
40.41699,-70.68313,11.3
40.41715,-70.67805,11.4
40.41731,-70.67318,11.5
40.41742,-70.66825,11.6
40.41753,-70.66254,11.6
40.41765,-70.65772,11.6
40.41775,-70.65273,11.5
40.418,-70.6413,11.5
40.41815,-70.63626,11.6
40.41847,-70.62467,11.3
40.41835,-70.6198,11.3
40.41872,-70.59501,11.2
40.41887,-70.5895,11.3
40.4194,-70.5716,11.6
40.41954,-70.56666,11.7
40.41971,-70.56188,11.6
40.41984,-70.55709,11.4
40.41999,-70.55214,11.3
40.42021,-70.54587,11.3
40.4204,-70.54018,11.4
40.42071,-70.53392,11.4
40.42094,-70.52907,11.4
40.42121,-70.52421,11.4
40.42145,-70.51966,11.3
40.42166,-70.51477,11.2
40.42183,-70.51001,11.2
40.42202,-70.50515,11.3
40.4222,-70.50023,11.4
40.42242,-70.49534,11.4
40.42266,-70.49044,11.4
40.42288,-70.48555,11.4
40.42311,-70.48071,11.4
40.42322,-70.47594,11.4
40.42315,-70.46602,11.4
40.42314,-70.46112,11.5
40.4232,-70.45609,11.6
40.4232,-70.45042,11.6
