LAT,LONG
40.42052,-70.69652
40.42066,-70.6909
40.42079,-70.68561
40.42095,-70.6799
40.4211,-70.67434
40.42126,-70.66864
40.4214,-70.66312
40.42154,-70.65753
40.42169,-70.65199
40.42187,-70.6462
40.42204,-70.6405
40.42218,-70.63542
40.42234,-70.62944
40.42251,-70.62377
40.42268,-70.61819
40.42284,-70.61264
40.423,-70.60719
40.42316,-70.60157
40.42335,-70.59606
40.42355,-70.59064
40.42374,-70.58489
40.4239,-70.57909
40.42405,-70.57339
40.42424,-70.56754
40.42443,-70.56178
40.42461,-70.55609
40.42478,-70.55023
40.42498,-70.54531
40.42516,-70.53948
40.42535,-70.53388
40.42556,-70.52809
40.42576,-70.52233
40.42595,-70.51647
40.42612,-70.51069
40.42641,-70.50254
40.42664,-70.49678
40.4267,-70.49513
40.42691,-70.48926
40.42715,-70.48275
40.42738,-70.47689
40.42761,-70.47121
40.42789,-70.46452
40.42812,-70.45874
40.42837,-70.45288
40.42865,-70.44644
