LAT,LONG
40.40701,-70.70583
40.40757,-70.69465
40.40771,-70.68514
40.40778,-70.67464
40.40792,-70.66514
40.40799,-70.65623
40.40809,-70.64513
40.40831,-70.62746
40.40781,-70.6193
40.40642,-70.60894
40.40429,-70.59885
40.40243,-70.59062
40.40097,-70.58205
40.39998,-70.57412
40.39919,-70.56655
40.39948,-70.55796
40.40017,-70.55015
40.40102,-70.54227
40.40171,-70.53428
40.40234,-70.52624
40.40248,-70.52478
40.40335,-70.51663
40.40425,-70.50795
40.40506,-70.49996
40.40586,-70.49157
40.40777,-70.47088
40.40906,-70.45673
