LAT,LONG
40.40975,-70.70739
40.40978,-70.69886
40.40981,-70.6902
40.40998,-70.67228
40.41004,-70.66307
40.41014,-70.65439
40.41049,-70.64521
40.4108,-70.63661
40.41114,-70.62792
40.41168,-70.6186
40.4122,-70.60942
40.41268,-70.60088
40.41316,-70.59237
40.4137,-70.58299
40.41425,-70.57387
40.41474,-70.5654
40.4153,-70.55691
40.41586,-70.54749
40.41723,-70.51335
40.41748,-70.50474
40.41774,-70.49602
40.41801,-70.48743
40.41826,-70.47883
40.41834,-70.47649
40.41859,-70.46801
40.41885,-70.45861
40.41915,-70.45
