LAT,LONG
40.477,-70.44161
40.47584,-70.44779
40.47465,-70.45415
40.47348,-70.46042
40.47233,-70.4666
40.47107,-70.47295
40.46971,-70.47913
40.46837,-70.48531
40.46701,-70.49137
40.46564,-70.49761
40.46431,-70.50376
40.46334,-70.50813
40.46213,-70.51371
40.46071,-70.5198
40.45882,-70.5257
40.45667,-70.53115
40.45446,-70.53667
40.45222,-70.54221
40.44993,-70.54785
40.44771,-70.55348
40.44547,-70.559
40.44321,-70.56462
40.44096,-70.57025
40.4387,-70.57588
40.43641,-70.58149
40.43414,-70.5872
40.43194,-70.59273
40.42966,-70.5984
40.42746,-70.60378
40.42516,-70.60872
40.42236,-70.61374
40.41947,-70.61865
40.41658,-70.62358
40.41394,-70.62806
40.41102,-70.633
40.4081,-70.63804
40.40526,-70.64298
40.40235,-70.64799
