LAT,LONG
40.42241,-70.7059
40.42221,-70.69863
40.42207,-70.69076
40.4216,-70.65655
40.42155,-70.64938
40.42148,-70.64208
40.42138,-70.63561
40.42127,-70.62833
40.4211,-70.61815
40.42102,-70.61106
40.42093,-70.60444
40.42083,-70.59784
40.42067,-70.58524
40.42051,-70.57791
40.42035,-70.57127
40.41975,-70.54488
40.41954,-70.53695
40.41913,-70.52073
40.41889,-70.51353
40.41871,-70.50645
40.41851,-70.49989
40.41832,-70.49329
40.41805,-70.48681
40.41775,-70.48035
40.41746,-70.47396
40.41725,-70.46742
40.41706,-70.46094
40.41688,-70.4543
