LAT,LONG
40.53382,-70.65774
40.52058,-70.65206
40.51573,-70.65008
40.51025,-70.64783
40.50233,-70.64465
40.49444,-70.64143
40.4901,-70.63975
40.4853,-70.63779
40.48044,-70.63582
40.4761,-70.63409
40.47197,-70.63236
40.4664,-70.63018
40.46095,-70.62802
40.45659,-70.62622
40.45241,-70.62449
40.44753,-70.6225
40.44206,-70.62056
40.43768,-70.61975
40.43345,-70.61893
40.42854,-70.61792
40.42283,-70.61673
40.41853,-70.61616
40.41107,-70.61633
40.40604,-70.61569
40.40041,-70.61448
40.39425,-70.61314
40.38858,-70.61182
40.38354,-70.61077
