 CTD,           ,Julian, time  ,  Latitude, , Longitude, ,Latitude,Latitude, ,Longitude,Longitude,
 num,   date    , Day,    GMT  ,  dec deg , ,  dec deg , ,  deg   , dec min, ,   deg   , dec min , 
 001, 05/23/2022,143, 13:50:38,40.469167,N,70.6,W,40,28.15,N,70,36,W
 002, 05/23/2022,143, 16:29:37,40.440333,N,70.53,W,40,26.42,N,70,31.8,W
 003, 05/23/2022,143, 17:35:29,40.427,N,70.489667,W,40,25.62,N,70,29.38,W
 004, 05/23/2022,143, 23:26:48,40.506167,N,70.685667,W,40,30.37,N,70,41.14,W
 005, 05/24/2022,144, 11:47:47,40.424,N,70.49,W,40,25.44,N,70,29.4,W
 006, 05/24/2022,144, 17:51:39,40.506167,N,70.686833,W,40,30.37,N,70,41.21,W
 007, 05/24/2022,144, 18:51:19,40.430667,N,70.619333,W,40,25.84,N,70,37.16,W
 008, 05/24/2022,144, 21:51:30,40.5135,N,70.483,W,40,30.81,N,70,28.98,W
 009, 05/25/2022,145, 00:53:03,40.442333,N,70.598833,W,40,26.54,N,70,35.93,W
 010, 05/25/2022,145, 11:41:43,40.459833,N,70.580833,W,40,27.59,N,70,34.85,W
 011, 05/25/2022,145, 16:20:00,40.464167,N,70.570167,W,40,27.85,N,70,34.21,W
 012, 05/25/2022,145, 17:03:25,40.438167,N,70.533667,W,40,26.29,N,70,32.02,W
 013, 05/25/2022,145, 20:25:24,40.441667,N,70.522167,W,40,26.5,N,70,31.33,W
 014, 05/26/2022,146, 00:53:33,40.4415,N,70.53,W,40,26.49,N,70,31.8,W
 015, 05/26/2022,146, 18:09:08,40.057167,N,70.940333,W,40, 03.43  ,N,70,56.42,W
 016, 05/27/2022,147, 13:12:02,40.044333,N,70.882167,W,40, 02.66  ,N,70,52.93,W
 017, 05/27/2022,147, 15:15:58,39.9505,N,70.767167,W,39,57.03,N,70,46.03,W
 018, 05/27/2022,147, 18:12:00,40.060667,N,70.9715,W,40, 03.64  ,N,70,58.29,W
 019, 05/28/2022,148, 11:34:09,40.0165,N,70.662,W,40, 00.99  ,N,70,39.72,W
 020, 05/28/2022,148, 18:27:53,40.060167,N,70.9745,W,40, 03.61  ,N,70,58.47,W
 021, 05/28/2022,148, 22:46:19,40.062,N,70.9715,W,40, 03.72  ,N,70,58.29,W
 022, 05/29/2022,149, 13:42:01,39.949667,N,70.769333,W,39,56.98,N,70,46.16,W
 023, 05/29/2022,149, 18:45:25,40.095,N,70.895667,W,40, 05.70  ,N,70,53.74,W
 024, 05/29/2022,149, 23:51:53,40.073167,N,70.875167,W,40, 04.39  ,N,70,52.51,W
 025, 05/30/2022,150, 17:09:29,39.960833,N,70.987,W,39,57.65,N,70,59.22,W
 026, 05/30/2022,150, 22:43:24,39.947167,N,70.729333,W,39,56.83,N,70,43.76,W
 027, 05/31/2022,151, 14:16:41,39.948333,N,70.760333,W,39,56.9,N,70,45.62,W
 028, 05/31/2022,151, 20:13:35,39.958333,N,70.944333,W,39,57.5,N,70,56.66,W
